song,performer,week_id,week_position,previous_week_position,peak_position,weeks_on_chart,year
What's Next,Drake,2021-05-15,45,30.0,1,9,2021
What's Next,Drake,2021-05-22,52,45.0,1,10,2021
What's Next,Drake,2021-05-29,66,52.0,1,11,2021
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-02-22,96,,96,1,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-02-29,84,96.0,84,2,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-03-07,77,84.0,77,3,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-03-14,74,77.0,74,4,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-03-21,73,74.0,73,5,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-03-28,48,73.0,48,6,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-04-04,57,48.0,48,7,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-04-11,49,57.0,48,8,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-04-18,36,49.0,36,9,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-04-25,36,36.0,36,10,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-05-02,37,36.0,36,11,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-05-09,35,37.0,35,12,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-05-16,44,35.0,35,13,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-05-23,32,44.0,32,14,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-05-30,28,32.0,28,15,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-06-06,25,28.0,25,16,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-06-13,21,25.0,21,17,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-06-20,16,21.0,16,18,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-06-27,18,16.0,16,19,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-07-04,8,18.0,8,20,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-07-11,2,8.0,2,21,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-07-18,3,2.0,2,22,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-07-25,3,3.0,2,23,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-08-01,2,3.0,2,24,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-08-08,3,2.0,2,25,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-08-15,3,3.0,2,26,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-08-22,4,3.0,2,27,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-08-29,5,4.0,2,28,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-09-05,6,5.0,2,29,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-09-12,7,6.0,2,30,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-09-19,8,7.0,2,31,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-09-26,10,8.0,2,32,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-10-03,12,10.0,2,33,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-10-10,13,12.0,2,34,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-10-17,16,13.0,2,35,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-10-24,18,16.0,2,36,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-10-31,18,18.0,2,37,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-11-07,20,18.0,2,38,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-11-14,24,20.0,2,39,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-11-21,25,24.0,2,40,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-11-28,30,25.0,2,41,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-12-05,39,30.0,2,42,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-12-12,48,39.0,2,43,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-12-19,47,48.0,2,44,2020
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020-12-26,44,47.0,2,45,2020
Whoopty,CJ,2021-01-02,52,53.0,51,7,2021
Whoopty,CJ,2021-01-09,27,52.0,27,8,2021
Whoopty,CJ,2021-01-16,21,27.0,21,9,2021
Whoopty,CJ,2021-01-23,25,21.0,21,10,2021
Whoopty,CJ,2021-01-30,19,25.0,19,11,2021
Whoopty,CJ,2021-02-06,16,19.0,16,12,2021
Whoopty,CJ,2021-02-13,10,16.0,10,13,2021
Whoopty,CJ,2021-02-20,11,10.0,10,14,2021
Whoopty,CJ,2021-02-27,15,11.0,10,15,2021
Whoopty,CJ,2021-03-06,14,15.0,10,16,2021
Whoopty,CJ,2021-03-13,18,14.0,10,17,2021
Whoopty,CJ,2021-03-20,29,18.0,10,18,2021
Whoopty,CJ,2021-03-27,45,29.0,10,19,2021
Whoopty,CJ,2021-04-03,38,45.0,10,20,2021
Whoopty,CJ,2021-04-10,38,38.0,10,21,2021
Whoopty,CJ,2021-04-17,48,38.0,10,22,2021
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-05-08,3,3.0,1,6,2021
Positions,Ariana Grande,2020-12-12,3,4.0,1,6,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-06-06,3,4.0,3,6,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-08-08,10,12.0,10,7,2020
Astronaut In The Ocean,Masked Wolf,2021-04-10,12,17.0,12,7,2021
Rain On Me,Lady Gaga & Ariana Grande,2020-07-18,16,12.0,1,7,2020
Calling My Phone,Lil Tjay Featuring 6LACK,2021-04-10,18,14.0,3,7,2021
Come & Go,Juice WRLD x Marshmello,2020-09-05,19,18.0,2,7,2020
Roses,SAINt JHN,2020-05-16,20,23.0,20,7,2020
Deja Vu,Olivia Rodrigo,2021-05-29,21,17.0,8,7,2021
Dakiti,Bad Bunny & Jhay Cortez,2020-12-26,23,17.0,5,7,2020
Popstar,DJ Khaled Featuring Drake,2020-09-12,24,21.0,3,7,2020
Stuck With U,Ariana Grande & Justin Bieber,2020-07-04,28,26.0,1,7,2020
Anyone,Justin Bieber,2021-02-27,28,34.0,6,7,2021
Blinding Lights,The Weeknd,2020-01-25,32,39.0,11,7,2020
Stupid Love,Lady Gaga,2020-04-25,33,32.0,5,7,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-02-29,51,58.0,51,7,2020
Cardigan,Taylor Swift,2020-09-19,52,45.0,1,7,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-06-20,1,1.0,1,8,2020
Savage,Megan Thee Stallion,2020-05-16,2,4.0,2,8,2020
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-05-22,3,3.0,1,8,2021
Save Your Tears,The Weeknd & Ariana Grande,2021-02-27,6,4.0,4,8,2021
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-08-15,7,10.0,7,8,2020
Positions,Ariana Grande,2020-12-26,8,4.0,1,8,2020
Popstar,DJ Khaled Featuring Drake,2020-09-19,10,24.0,3,8,2020
Astronaut In The Ocean,Masked Wolf,2021-04-17,10,12.0,10,8,2021
Calling My Phone,Lil Tjay Featuring 6LACK,2021-04-17,11,18.0,3,8,2021
Roses,SAINt JHN,2020-05-23,16,20.0,16,8,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-02-15,53,56.0,53,6,2020
Cardigan,Taylor Swift,2020-09-12,45,36.0,1,6,2020
Drivers License,Olivia Rodrigo,2021-02-06,1,1.0,1,3,2021
Dynamite,BTS,2020-09-19,2,1.0,1,3,2020
Montero (Call Me By Your Name),Lil Nas X,2021-04-24,2,2.0,1,3,2021
Life Is Good,Future Featuring Drake,2020-02-08,2,2.0,2,3,2020
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-04-03,3,2.0,2,3,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-09-12,3,3.0,2,3,2020
Kiss Me More,Doja Cat Featuring SZA,2021-05-08,6,8.0,6,3,2021
Good Days,SZA,2021-01-23,10,23.0,10,3,2021
Mood,24kGoldn Featuring iann dior,2020-09-05,12,26.0,12,3,2020
Holy,Justin Bieber Featuring Chance The Rapper,2020-10-17,14,12.0,3,3,2020
Godzilla,Eminem Featuring Juice WRLD,2020-02-15,20,12.0,3,3,2020
Gooba,6ix9ine,2020-06-06,22,11.0,3,3,2020
Franchise,Travis Scott Featuring Young Thug & M.I.A.,2020-10-24,23,25.0,1,3,2020
Forever After All,Luke Combs,2020-11-21,27,18.0,2,3,2020
Lemon Pepper Freestyle,Drake Featuring Rick Ross,2021-04-03,56,31.0,3,3,2021
I Hope,Gabby Barrett Featuring Charlie Puth,2020-01-25,64,65.0,64,3,2020
Franchise,Travis Scott Featuring Young Thug & M.I.A.,2020-11-07,51,39.0,1,5,2020
Forever After All,Luke Combs,2020-12-05,53,40.0,2,5,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-02-08,56,73.0,56,5,2020
Lemon Pepper Freestyle,Drake Featuring Rick Ross,2021-04-17,70,70.0,3,5,2021
Drivers License,Olivia Rodrigo,2021-02-27,1,1.0,1,6,2021
Dynamite,BTS,2020-10-10,2,1.0,1,6,2020
Life Is Good,Future Featuring Drake,2020-02-29,2,2.0,2,6,2020
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-04-24,3,1.0,1,6,2021
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-10-03,4,3.0,2,6,2020
Mood,24kGoldn Featuring iann dior,2020-09-26,6,6.0,6,6,2020
Montero (Call Me By Your Name),Lil Nas X,2021-05-15,9,7.0,1,6,2021
Holy,Justin Bieber Featuring Chance The Rapper,2020-11-07,10,9.0,3,6,2020
Kiss Me More,Doja Cat Featuring SZA,2021-05-29,10,5.0,5,6,2021
Good Days,SZA,2021-02-13,11,9.0,9,6,2021
Heartless,The Weeknd,2020-01-11,20,39.0,1,6,2020
Gooba,6ix9ine,2020-06-27,36,43.0,3,6,2020
Godzilla,Eminem Featuring Juice WRLD,2020-03-07,37,36.0,3,6,2020
Life Is Good,Future Featuring Drake,2020-03-28,4,3.0,2,10,2020
Holy,Justin Bieber Featuring Chance The Rapper,2020-12-05,6,6.0,3,10,2020
Dynamite,BTS,2020-11-07,12,7.0,1,10,2020
Don't Start Now,Dua Lipa,2020-01-18,14,21.0,14,10,2020
Cardigan,Taylor Swift,2020-10-17,77,53.0,1,11,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-07-18,1,1.0,1,12,2020
Savage,Megan Thee Stallion,2020-06-13,2,2.0,1,12,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-01-30,2,11.0,2,12,2021
Positions,Ariana Grande,2021-01-23,3,2.0,1,12,2021
Save Your Tears,The Weeknd & Ariana Grande,2021-03-27,5,7.0,4,12,2021
Astronaut In The Ocean,Masked Wolf,2021-05-15,7,8.0,7,12,2021
Roses,SAINt JHN,2020-06-20,7,10.0,7,12,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-09-12,9,9.0,7,12,2020
Say So,Doja Cat Featuring Nicki Minaj,2020-04-04,9,14.0,9,12,2020
Blinding Lights,The Weeknd,2020-02-29,10,12.0,10,12,2020
Calling My Phone,Lil Tjay Featuring 6LACK,2021-05-15,13,14.0,3,12,2021
Dance Monkey,Tones And I,2020-01-04,14,11.0,9,12,2020
Anyone,Justin Bieber,2021-04-03,16,37.0,6,12,2021
"10,000 Hours",Dan + Shay & Justin Bieber,2020-01-04,17,13.0,4,12,2020
Come & Go,Juice WRLD x Marshmello,2020-10-10,20,19.0,2,12,2020
Popstar,DJ Khaled Featuring Drake,2020-10-17,34,21.0,3,12,2020
Rain On Me,Lady Gaga & Ariana Grande,2020-08-22,36,35.0,1,12,2020
Cardigan,Taylor Swift,2020-10-24,85,77.0,1,12,2020
Stuck With U,Ariana Grande & Justin Bieber,2020-08-08,88,58.0,1,12,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-07-25,1,1.0,1,13,2020
Savage,Megan Thee Stallion,2020-06-20,2,2.0,1,13,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-02-06,4,2.0,2,13,2021
Positions,Ariana Grande,2021-01-30,5,3.0,1,13,2021
Save Your Tears,The Weeknd & Ariana Grande,2021-04-03,5,5.0,4,13,2021
Astronaut In The Ocean,Masked Wolf,2021-05-22,6,7.0,6,13,2021
Say So,Doja Cat Featuring Nicki Minaj,2020-04-11,7,9.0,7,13,2020
Dance Monkey,Tones And I,2020-01-11,7,14.0,7,13,2020
Roses,SAINt JHN,2020-06-27,8,7.0,7,13,2020
Blinding Lights,The Weeknd,2020-03-07,8,10.0,8,13,2020
"10,000 Hours",Dan + Shay & Justin Bieber,2020-01-11,9,17.0,4,13,2020
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-09-19,9,9.0,7,13,2020
Calling My Phone,Lil Tjay Featuring 6LACK,2021-05-22,13,13.0,3,13,2021
Come & Go,Juice WRLD x Marshmello,2020-10-17,24,20.0,2,13,2020
Anyone,Justin Bieber,2021-04-10,36,16.0,6,13,2021
Popstar,DJ Khaled Featuring Drake,2020-10-24,40,34.0,3,13,2020
Rain On Me,Lady Gaga & Ariana Grande,2020-08-29,44,36.0,1,13,2020
Stuck With U,Ariana Grande & Justin Bieber,2020-08-15,79,88.0,1,13,2020
Cardigan,Taylor Swift,2020-10-31,88,85.0,1,13,2020
Rockstar,DaBaby Featuring Roddy Ricch,2020-08-01,1,1.0,1,14,2020
Savage,Megan Thee Stallion,2020-06-27,4,2.0,1,14,2020
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-02-13,4,4.0,2,14,2021
Roses,SAINt JHN,2020-07-04,4,8.0,4,14,2020
"10,000 Hours",Dan + Shay & Justin Bieber,2020-01-18,5,9.0,4,14,2020
Save Your Tears,The Weeknd & Ariana Grande,2021-04-10,6,5.0,4,14,2021
Positions,Ariana Grande,2021-02-06,7,5.0,1,14,2021
Willow,Taylor Swift,2020-12-26,1,,1,1,2020
Without You,The Kid LAROI,2021-01-02,70,81.0,63,3,2021
Without You,The Kid LAROI,2021-01-09,65,70.0,63,4,2021
Without You,The Kid LAROI,2021-01-16,54,65.0,54,5,2021
Without You,The Kid LAROI,2021-01-23,57,54.0,54,6,2021
Without You,The Kid LAROI,2021-01-30,52,57.0,52,7,2021
Without You,The Kid LAROI,2021-02-06,47,52.0,47,8,2021
Without You,The Kid LAROI,2021-02-13,52,47.0,47,9,2021
Without You,The Kid LAROI,2021-02-20,44,52.0,44,10,2021
Without You,The Kid LAROI,2021-02-27,43,44.0,43,11,2021
Without You,The Kid LAROI,2021-03-06,38,43.0,38,12,2021
Without You,The Kid LAROI,2021-03-13,34,38.0,34,13,2021
Without You,The Kid LAROI,2021-03-20,44,34.0,34,14,2021
Without You,The Kid LAROI,2021-03-27,40,44.0,34,15,2021
Without You,The Kid LAROI,2021-04-03,36,40.0,34,16,2021
Without You,The Kid LAROI,2021-04-10,31,36.0,31,17,2021
Without You,The Kid LAROI,2021-04-17,30,31.0,30,18,2021
Without You,The Kid LAROI,2021-04-24,32,30.0,30,19,2021
Without You,The Kid LAROI,2021-05-01,31,32.0,30,20,2021
Without You,The Kid LAROI,2021-05-08,23,31.0,23,21,2021
Without You,The Kid LAROI,2021-05-15,8,23.0,8,22,2021
Without You,The Kid LAROI,2021-05-22,9,8.0,8,23,2021
Without You,The Kid LAROI,2021-05-29,16,9.0,8,24,2021
Your Power,Billie Eilish,2021-05-15,10,,10,1,2021
Your Power,Billie Eilish,2021-05-22,29,10.0,10,2,2021
Your Power,Billie Eilish,2021-05-29,54,29.0,10,3,2021
Yummy,Justin Bieber,2020-01-18,2,,2,1,2020
Yummy,Justin Bieber,2020-01-25,10,2.0,2,2,2020
Yummy,Justin Bieber,2020-02-01,11,10.0,2,3,2020
Yummy,Justin Bieber,2020-02-08,15,11.0,2,4,2020
Yummy,Justin Bieber,2020-02-15,14,15.0,2,5,2020
Yummy,Justin Bieber,2020-02-22,19,14.0,2,6,2020
Yummy,Justin Bieber,2020-02-29,11,19.0,2,7,2020
Yummy,Justin Bieber,2020-03-07,23,11.0,2,8,2020
Yummy,Justin Bieber,2020-03-14,40,23.0,2,9,2020
Yummy,Justin Bieber,2020-03-21,67,40.0,2,10,2020
Yummy,Justin Bieber,2020-03-28,78,67.0,2,11,2020
Yummy,Justin Bieber,2020-04-04,83,78.0,2,12,2020
Yummy,Justin Bieber,2020-04-11,84,83.0,2,13,2020
Yummy,Justin Bieber,2020-04-18,94,84.0,2,14,2020
Yummy,Justin Bieber,2020-04-25,94,94.0,2,15,2020
Come & Go,Juice WRLD x Marshmello,2020-10-24,21,24.0,2,14,2020
Calling My Phone,Lil Tjay Featuring 6LACK,2021-05-29,29,13.0,3,14,2021
Franchise,Travis Scott Featuring Young Thug & M.I.A.,2020-10-31,39,23.0,1,4,2020
Forever After All,Luke Combs,2020-11-28,40,27.0,2,4,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-02-22,48,53.0,48,7,2020
Gooba,6ix9ine,2020-07-04,50,36.0,3,7,2020
Franchise,Travis Scott Featuring Young Thug & M.I.A.,2020-11-21,55,59.0,1,7,2020
Forever After All,Luke Combs,2020-12-19,66,68.0,2,7,2020
Drivers License,Olivia Rodrigo,2021-03-13,1,1.0,1,8,2021
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-05-08,2,2.0,1,8,2021
Life Is Good,Future Featuring Drake,2020-03-14,2,2.0,2,8,2020
Dynamite,BTS,2020-10-24,5,2.0,1,8,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-10-17,5,4.0,2,8,2020
Mood,24kGoldn Featuring iann dior,2020-10-10,5,5.0,5,8,2020
Holy,Justin Bieber Featuring Chance The Rapper,2020-11-21,7,11.0,3,8,2020
Montero (Call Me By Your Name),Lil Nas X,2021-05-29,18,10.0,1,8,2021
Heartless,The Weeknd,2020-01-25,18,17.0,1,8,2020
Good Days,SZA,2021-02-27,18,13.0,9,8,2021
Godzilla,Eminem Featuring Juice WRLD,2020-03-21,32,42.0,3,8,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-02-29,44,48.0,44,8,2020
Franchise,Travis Scott Featuring Young Thug & M.I.A.,2020-11-14,59,51.0,1,6,2020
Forever After All,Luke Combs,2020-12-12,68,53.0,2,6,2020
Drivers License,Olivia Rodrigo,2021-03-06,1,1.0,1,7,2021
Dynamite,BTS,2020-10-17,2,2.0,1,7,2020
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),2021-05-01,2,3.0,1,7,2021
Life Is Good,Future Featuring Drake,2020-03-07,2,2.0,2,7,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-10-10,4,4.0,2,7,2020
Mood,24kGoldn Featuring iann dior,2020-10-03,5,6.0,5,7,2020
Montero (Call Me By Your Name),Lil Nas X,2021-05-22,10,9.0,1,7,2021
Holy,Justin Bieber Featuring Chance The Rapper,2020-11-14,11,10.0,3,7,2020
Good Days,SZA,2021-02-20,13,11.0,9,7,2021
Heartless,The Weeknd,2020-01-18,17,20.0,1,7,2020
Godzilla,Eminem Featuring Juice WRLD,2020-03-14,42,37.0,3,7,2020
Godzilla,Eminem Featuring Juice WRLD,2020-04-11,47,38.0,3,11,2020
I Hope,Gabby Barrett Featuring Charlie Puth,2020-03-21,50,51.0,44,11,2020
Mood,24kGoldn Featuring iann dior,2020-11-07,3,1.0,1,12,2020
Laugh Now Cry Later,Drake Featuring Lil Durk,2020-11-14,3,4.0,2,12,2020
Drivers License,Olivia Rodrigo,2021-04-10,5,4.0,1,12,2021
