song,performer,week_id,week_position,year,weeks_on_chart
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-04-24,4,2021,4
Rapstar,Polo G,2021-05-15,6,2021,4
Rockstar,DaBaby Featuring Roddy Ricch,2020-05-23,8,2020,4
Rain On Me,Lady Gaga & Ariana Grande,2020-06-27,9,2020,4
Mood,24kGoldn Featuring iann dior,2020-08-22,84,2020,1
Rockstar,DaBaby Featuring Roddy Ricch,2020-06-27,2,2020,9
Savage,Megan Thee Stallion,2020-05-23,5,2020,9
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021-05-29,6,2021,9
Save Your Tears,The Weeknd & Ariana Grande,2021-03-06,6,2021,9
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020-08-22,7,2020,9
Calling My Phone,Lil Tjay Featuring 6LACK,2021-04-24,13,2021,9
Positions,Ariana Grande,2021-01-02,14,2021,9
Rain On Me,Lady Gaga & Ariana Grande,2020-08-01,14,2020,9
Say So,Doja Cat Featuring Nicki Minaj,2020-03-14,16,2020,9
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,2021-01-09,19,2021,9
Stuck With U,Ariana Grande & Justin Bieber,2020-07-18,45,2020,9
Cardigan,Taylor Swift,2020-10-03,49,2020,9
Say So,Doja Cat Featuring Nicki Minaj,2020-02-08,73,2020,4
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",2020-05-09,1,2020,1
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",2020-05-16,12,2020,2
